| # | team | hello | lambdaman | spaceship | 3d | efficiency |
| 81 | Dare Ludum | 20 |  |  |  |  |
| 81 | uta | 20 |  |  |  |  |
| 81 | topcoder_is_dead | 20 |  |  |  |  |
| 81 | shim0 | 20 |  |  |  |  |
| 81 | N?rke Nation | 20 |  |  |  |  |
| 81 | tmd | 20 |  |  |  |  |
| 81 | The Blind Hen | 20 |  |  |  |  |
| 81 | Apprentice | 20 |  |  |  |  |
| 81 | Perpetuum Mobile | 20 |  |  |  |  |
| 81 | Human Instrumentality Project | 20 |  |  |  |  |
| 81 | Mosa Fett | 20 |  |  |  |  |
| 81 | Dr0ne | 20 |  |  |  |  |
| 131 | wendigogo | 121 |  |  |  |  |
| 131 | TS_TCPC | 121 |  |  |  |  |
| 131 | Ground Truth | 121 |  |  |  |  |
| 131 | pointless | 121 |  |  |  |  |
| 131 | masataka | 121 |  |  |  |  |
| 131 | idkjava | 121 |  |  |  |  |
| 131 | Lyrical Tokarev | 121 |  |  |  |  |
| 131 | Dis Functional | 121 |  |  |  |  |
| 131 | C64 | 121 |  |  |  |  |
| 140 | Golden Middle | 131 |  |  |  |  |
| 140 | azak | 131 |  |  |  |  |
| 140 | 3GjcVykuxyD82HE | 131 |  |  |  |  |
| 140 | mcpony | 131 |  |  |  |  |
| 140 | **dysfunctional** | **piglets** | 131 |  |  |  |  |
| 140 | Lama | 131 |  |  |  |  |
| 140 | monoid | 131 |  |  |  |  |
| 140 | Pure Laziness | 131 |  |  |  |  |
| 140 | optima | 131 |  |  |  |  |
| 140 | chirijako | 131 |  |  |  |  |
| 140 | Team Sampou | 131 |  |  |  |  |
| 140 | hayato | 131 |  |  |  |  |
| 140 | O Caml My Caml | 131 |  |  |  |  |
| 140 | ThinkWithGames | 131 |  |  |  |  |
| 140 | DNIWE :: a | 131 |  |  |  |  |
| 140 | yorofuwa | 131 |  |  |  |  |
| 140 | Sigmoid Freud | 131 |  |  |  |  |
| 140 | Channable & Friends | 131 |  |  |  |  |
| 140 | Massive force to give up | 131 |  |  |  |  |
| 159 | yosupo | 159 |  |  |  |  |
| 159 | mmohammadi9812 | 159 |  |  |  |  |
| 159 | Gobelet | 159 |  |  |  |  |
| 159 | NasconDini | 159 |  |  |  |  |
| 159 | Fixed but mostly pointless | 159 |  |  |  |  |
| 159 | Freddy Pringle | 159 |  |  |  |  |
| 159 | Typeclass Without Laws | 159 |  |  |  |  |
| 159 | hk | 159 |  |  |  |  |
| 159 | Pi | 159 |  |  |  |  |
| 159 | ()-age | 159 |  |  |  |  |
| 159 | Whoknows | 159 |  |  |  |  |
| 159 | lotren | 159 |  |  |  |  |
| 159 | gummycandy | 159 |  |  |  |  |
| 159 | almosthere | 159 |  |  |  |  |
| 159 | awawa | 159 |  |  |  |  |
| 159 | TurtlePU | 159 |  |  |  |  |
| 159 | yupiteru | 159 |  |  |  |  |
| 159 | CoderMal | 159 |  |  |  |  |
| 159 | cleanlean | 159 |  |  |  |  |
| 159 | balonit_bros | 159 |  |  |  |  |
| 159 | fantastic-couscous | 159 |  |  |  |  |
