| # | team | lambdaman1 | lambdaman2 | lambdaman3 | lambdaman4 | lambdaman5 | lambdaman6 | lambdaman7 | lambdaman8 | lambdaman9 | lambdaman10 | lambdaman11 | lambdaman12 | lambdaman13 | lambdaman14 | lambdaman15 | lambdaman16 | lambdaman17 | lambdaman18 | lambdaman19 | lambdaman20 | lambdaman21 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| ? | B$ L$ B$ v$ v$ L$ B$ v$ v$ | ? | ? | ? | ? | ? | ? | ? | ? | ? | ? | ? | ? | ? | ? | ? | ? | ? | ? | ? | ? | ? |
| 141 | just_me | 1 | 210 | 201 | 174 | 167 |  | 112 | 80 |  |  | 149 | 142 | 143 | 142 | 139 | 61 | 109 | 96 | 136 | 97 |  |
| 142 | goto11 | 1 | 1 | 1 | 172 | 166 |  | 162 | 80 |  |  | 143 | 144 | 144 | 143 | 143 | 61 | 139 | 130 | 130 | 128 |  |
| 143 | LoneBot | 230 | 1 | 1 | 117 |  | 112 | 98 | 80 |  |  | 99 | 78 | 78 | 98 | 82 | 61 |  |  | 59 |  |  |
| 144 | uneu.net | 1 | 222 | 205 | 168 | 161 |  | 157 | 170 |  |  | 135 | 133 | 134 | 131 | 131 | 144 | 129 | 121 | 124 | 120 |  |
| 145 | Team Solo Mec | 1 | 1 | 1 | 117 | 49 |  | 98 |  |  |  | 99 | 78 | 78 | 98 | 82 | 61 |  |  | 59 |  |  |
| 146 | Prof Prog | 1 | 1 | 1 | 34 | 19 | 1 |  | 8 | 11 | 21 |  |  |  |  |  |  |  |  |  |  |  |
| 147 | Pseudo  | 1 | 1 | 1 | 103 | 108 |  | 133 | 80 |  |  | 77 | 78 | 78 | 80 | 78 |  |  |  |  |  |  |
| 148 | O Caml My Caml | 1 | 1 | 184 | 148 | 148 |  | 95 | 80 |  |  | 115 | 106 | 86 | 98 | 116 | 61 |  |  |  |  |  |
| 149 | tmd | 1 | 1 | 1 | 53 | 49 |  | 53 | 80 |  |  | 71 |  |  |  |  |  | 70 |  |  |  |  |
| 150 | Slow | 1 | 210 | 177 | 173 |  |  | 84 | 80 |  |  | 145 | 141 | 142 | 139 | 138 | 61 |  |  |  |  |  |
| 151 | Pech1 | 1 | 1 | 1 | 53 | 19 | 81 | 65 | 80 |  |  | 141 |  |  |  |  |  |  |  |  |  |  |
| 152 | takus | 1 | 222 | 201 | 161 | 158 |  | 153 |  |  |  | 130 | 129 | 130 | 127 | 127 |  | 126 |  |  |  |  |
| 153 | ishmeal | 1 | 1 | 1 | 53 | 49 | 112 | 57 | 80 | 85 |  |  |  |  |  |  |  |  |  |  |  |  |
| 154 | Waterloo Napoleons | 1 | 1 | 1 | 131 | 113 | 71 | 104 | 80 | 39 |  |  |  |  |  |  |  |  |  |  |  |  |
| 155 | jm | 1 | 1 | 1 |  |  | 63 |  | 32 | 33 | 33 |  |  |  |  |  |  |  |  |  |  |  |
| 156 | Crownfall Crew | 1 | 1 | 1 |  | 19 | 41 |  | 43 | 48 |  |  |  |  |  |  |  |  |  |  |  |  |
| 157 | Massive force to give up | 1 | 1 | 1 | 161 | 72 | 58 | 111 | 80 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 158 | GrinGene | 1 | 1 | 1 | 83 | 49 | 112 | 65 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 159 | shim0 | 1 | 1 | 1 | 182 | 178 | 81 | 169 |  | 125 | 112 |  |  |  |  |  |  |  |  |  |  |  |
| 160 | keles | 1 | 1 | 1 | 53 | 49 |  | 68 | 80 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 161 | the-bam | 1 | 1 | 1 | 33 | 19 | 41 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 162 | KMC | 1 | 1 | 201 | 161 | 158 | 54 | 153 | 167 |  |  | 130 |  |  |  |  |  |  |  |  |  |  |
| 163 | C64 | 1 | 228 | 208 | 180 | 175 | 81 |  | 57 | 66 |  |  |  |  |  |  |  |  |  |  |  |  |
| 164 | Lamb-duh | 1 | 206 | 184 | 148 | 149 | 112 | 134 | 80 | 125 |  |  |  |  |  |  |  |  |  |  |  |  |
| 165 | UA_paiv | 1 | 1 | 1 | 181 | 177 | 81 | 167 | 50 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 166 | 910z | 1 | 1 | 1 |  |  | 105 |  | 37 | 48 |  |  |  |  |  |  |  |  |  |  |  |  |
| 167 | Bue World | 1 | 1 | 1 | 83 | 19 | 52 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 168 | Better, late, then never | 1 | 1 | 1 | 129 | 49 |  | 89 | 80 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 169 | Apprentice | 1 | 1 | 1 | 131 | 49 |  | 77 | 80 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 170 | Helicoidal Bytecode | 244 | 222 | 201 | 161 | 158 | 145 | 153 |  | 130 | 105 |  |  |  |  |  |  |  |  |  |  |  |
| 171 | peterm | 230 | 1 | 1 | 117 | 133 |  | 87 | 80 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 172 | janiczek | 1 | 227 | 206 | 176 | 172 | 112 | 137 | 80 |  |  | 146 |  |  |  |  |  |  |  |  |  |  |
| 173 | Serpens Viridis | 1 | 1 | 1 | 115 | 130 |  |  | 80 |  |  | 140 |  |  |  |  |  |  |  |  |  |  |
| 174 | unsafePerform.IO | 1 | 1 | 1 | 169 | 82 | 81 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 175 | Timur | 1 | 1 | 157 | 161 | 119 |  | 63 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 176 | UnlikelyToSucceed | 1 | 208 | 198 | 80 | 162 |  | 158 | 80 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 177 | nesinboh | 1 | 1 | 1 | 81 | 49 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 178 | GeriatricCoder | 1 | 1 | 1 | 83 | 49 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 179 | Dis Functional | 1 | 1 |  |  |  | 112 |  |  | 85 | 91 |  |  |  |  |  |  |  |  |  |  |  |
| 180 | lambdametal | 1 | 1 | 1 | 131 | 19 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 181 | hk | 1 | 1 | 1 |  | 19 |  |  | 80 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 182 | Cup<T> | 1 |  |  |  |  | 112 |  | 80 | 122 |  |  |  |  |  |  | 61 |  |  |  |  |  |
| 183 | Junkfood | 1 | 1 | 1 |  |  | 112 |  |  | 85 |  |  |  |  |  |  |  |  |  |  |  |  |
| 184 | Invisible Imp | 230 | 1 | 1 |  |  | 112 |  |  | 85 |  |  |  |  |  |  |  |  |  |  |  |  |
| 185 | Undecidable | 1 | 1 | 1 |  |  | 142 |  |  | 119 |  |  |  |  |  |  |  |  |  |  |  |  |
| 186 | masataka | 1 | 1 | 174 |  | 174 | 74 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 187 | naminoneiro | 1 | 1 | 190 | 103 | 136 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 188 | poyo | 1 | 1 | 1 |  |  | 48 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 189 | gdb | 1 | 1 | 1 |  | 66 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 190 | ;Unbound variable: teamname | 1 | 208 | 211 | 179 | 168 |  | 168 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 191 | Kaos | 1 | 1 | 168 | 53 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 191 | Mimir's k?lla | 1 | 1 | 1 | 83 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 191 | Heklers @ < 16% | 1 | 1 | 1 | 83 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 194 | yupiteru | 1 | 1 | 1 |  |  | 81 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 195 | CamYarra | 1 | 210 | 178 |  |  |  | 146 | 80 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 196 | Sumedh Girish | 1 | 1 | 195 | 103 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 197 | zfhrp | 1 | 1 | 1 |  |  |  |  | 160 |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | RSQRTSS | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | ???? | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | DePauw with a W | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | yowa | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | XLERB | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | insert team name here | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | Lambgaga | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | Tusan | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | ai | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | FunctionalPerls | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | Intrepid Investigator | 1 |  |  |  |  | 81 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | skermes | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | sash | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | Lexi | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | OxBox | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | Distracted Corvids | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 198 | Leg of Lambda | 1 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 215 | NasconDini | 244 | 200 | 166 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 216 | treechicken | 1 | 1 | 212 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 217 | I-M-X |  |  |  |  |  |  | 164 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 218 | POCSlackers | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 218 | aaaaaaaaaa2230 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 218 | Kashell | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 218 | JumpingJaguar | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 218 | Affliction | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 218 | Rasengan | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 218 | wolfadex | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 218 | Whoknows | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 218 | almosthere | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 218 | Xeniac | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 228 | corylopsis | 1 | 197 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 228 | tryhard | 1 | 197 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 230 | CoderMal | 1 | 199 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 231 | fp[uk] | 230 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 232 | MangoPeeled | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 232 | turbolent | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 232 | SPAAACE | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 232 | help | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 232 | Pure Laziness (backup account) | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 232 | h4rr9 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 232 | FIRQ | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 232 | Ground Truth | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 232 | camel_case | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 232 | N?rke Nation | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 232 | winterfell | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 232 | Sabae no Applicative Functor | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 232 | ShadySharingan | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 245 | Codice Loco ( ?? ?? ??) | 230 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 245 | sbite0138 | 230 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 247 | monoid | 238 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 248 | DNIWE :: a | 247 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | The Old Man and the C |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Hollow Purple |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | D Yang |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | LLAMACHAIN |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Luke & Hamish |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | null |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | F47 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | quoc28 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | maron8676 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Team AK |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | hustlers |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | SoloQueue |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Fantastic 4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Slasher |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Dynamo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Codehunters |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | jonathanprogramming |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | DarkKnignt |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | plan arado |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | ateam |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | ateam |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | aaaa |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | GRARIO |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Miracle |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Want To Delete This Account |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | solo rank |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | ? |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Lambda Collective |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | N0BML |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | V |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Mosa Fett |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | ThinkWithGames |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | ? |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | InKryptz |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | swayingfish |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | One-Pass Gang |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | beginner |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | random_team |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | ToiToi |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Gassa |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | blueboar's team |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Ace_yuki |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | AAV2024 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | The Marauder |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | 0xValhalla |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | HCF |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Isaac Clarke |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | KBashist |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | sad |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | ush |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | farwah |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Discord doesn't work can we please use email instead kthxbye |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | bscii |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | ml-brothers |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | zenito9970 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Stochastic Pretzels |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Now Loading... |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | not used |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Binary_Three |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | The Demolishers |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | @mask |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Strength |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Vic |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | leojean890 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Blue Iris |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | bark but don't bite |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | spid2007 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | past_army |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | solo_coder |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | DETOX |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | uta |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Cail_Team |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | no-team |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | DEIN |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | 4eta |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | xiberfix |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | poka |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | sushi-gakushi |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Cail_Team |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Golden Middle |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | azak |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Dyalog hehe |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Test |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | SKL |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | ilikerice |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | De Stomme van Campen |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | ccc |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | 3GjcVykuxyD82HE |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | 3b |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | TurtlePU |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | awawa |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | mcpony |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | not_participating |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | gummycandy |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Golden Middle |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | lotren |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | ()-age |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | wheezards |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Various slide rules |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | <please-delete> |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | yosupo |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | mmohammadi9812 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | TS_TCPC |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | h4 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Fixed but mostly pointless |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Reflex12 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Freddy Pringle |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Pi |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Typeclass Without Laws |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | (mistakenly registered) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | shukhrat |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | globalstudent |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | a |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | serious |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Scr4peR |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | cleanlean |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | elmurod |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Aqqrs |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | speakerteeth |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | skullgang |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | kakira |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | Q |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 249 | asldev |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
